tamanho,tamanho_folheto,polos,dn_succao_pol,dn_recalque_pol,carcaca_motor,cv,peso_kg,h1_mm,h2_mm,a_mm,h_mm,l_mm,b_mm,h3_mm,h4_mm,m1_mm,m2_mm,m3_mm,m4_mm,n1_mm,n2_mm,n3_mm,n4_mm,n5_mm,q_mm,r1_mm,s1_mm,s2_mm,t1_mm,t2_mm,w_mm,norma_flange,fonte
065-040-160,40-160,2,"2.1/2""","1.1/2""",132M,15,103,132,160,80,132,519,50,120,180,100,70,225,,240,190,140,45,248,178,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-160,40-160,2,"2.1/2""","1.1/2""",160M,20,142,132,160,80,160,622,50,120,180,100,70,254,63,240,190,140,64,308,210,254,14,14.5,266,164.5,241,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-200,40-200,2,"2.1/2""","1.1/2""",132S,10,100,160,180,100,132,481,50,140,200,100,70,187,,265,212,165,45,248,140,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-200,40-200,2,"2.1/2""","1.1/2""",132M,15,111,160,180,100,132,519,50,140,200,100,70,225,,265,212,165,45,248,178,216,14,12,220,136,197,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-200,40-200,2,"2.1/2""","1.1/2""",160M,20,148,160,180,100,160,622,50,140,200,100,70,254,63,265,212,165,64,308,210,254,14,14.5,266,164.5,241,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-200,40-200,2,"2.1/2""","1.1/2""",160M,25,152,160,180,100,160,622,50,140,200,100,70,254,63,265,212,165,64,308,210,254,14,14.5,266,164.5,241,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-200,40-200,2,"2.1/2""","1.1/2""",180M,30,198,160,180,100,180,688,50,140,200,100,70,294,70,265,212,165,78,350,241,279,14,14.5,281,180,254,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-250,40-250,2,"2.1/2""","1.1/2""",160M,25,164,180,225,100,160,622,65,,,125,95,254,63,320,250,190,64,308,210,254,14,14.5,266,164.5,241,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-250,40-250,2,"2.1/2""","1.1/2""",180M,30,210,180,225,100,180,688,65,,,125,95,294,70,320,250,190,78,350,241,279,14,14.5,281,180,254,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
065-040-250,40-250,2,"2.1/2""","1.1/2""",200M,40,269,180,225,100,200,753,65,,,125,95,332,82,320,250,190,82,385,267,318,14,18.5,319,201,266,ANSI 125,"KSB Megabloc manual tecnico A2744.0.3P/2, 60 Hz"
