pagina,peca,dn_mm,dn_pol,cotas,sap,situacao
19,,368,14,"370,00 3,00 K10 142,44 43,84 296,89 99,68 15° 30° 30° 15°",01523-135501,cadastrado
19,,419,16,"405,00 4,75 K10 158,65 46,38 329,31 104,77 15° 30° 30° 15°",01523-135511,cadastrado
19,,470,18,"427,50 4,75 K10 171,52 45,58 355,03 103,16 15° 30° 30° 15° 01523-",,indefinido
19,,521,20,"457,00 4,75 K10 186,25 46,65 384,51 105,30 15° 30° 30° 15° 01523-",,indefinido
19,,622,24,"559,00 6,35 K10 226,12 59,45 466,23 132,90 15° 30° 30° 15° 01523-",,indefinido
20,,48,2,"132,50 2,00 FL EN1092 PN16 38,93 26,07 83,87 58,14 15° 30° 30° 15°",,CADASTRAR
20,,76,3,"152,00 2,00 FL EN1092 PN16 47,91 27,55 101,82 61,09 15° 30° 30° 15°",,CADASTRAR
20,,102,4,"175,00 2,00 FL EN1092 PN16 56,56 29,23 121,11 66,45 15° 30° 30° 15°",,CADASTRAR
20,,133,5,"191,00 2,00 FL EN1092 PN16 104,18 63,45 143,08 61,63 15° 30° 30° 15°",01523-000018,cadastrado
20,,152,6,"216,00 2,00 FL EN1092 PN16 74,24 33,51 156,48 75,03 15° 30° 30° 15°",,CADASTRAR
20,,203,8,"297,00 2,00 FL EN1092 PN16 101,78 47,38 213,56 104,77 15° 30° 30° 15°",,CADASTRAR
20,,261,10,"325,00 2,65 FL EN1092 PN16 117,05 47,12 244,10 104,23 15° 30° 30° 15°",,CADASTRAR
20,,318,12,"365,00 2,65 FL EN1092 PN16 135,41 50,20 280,81 110,40 15° 30° 30° 15°",,CADASTRAR
20,,368,14,"370,00 3,00 FL EN1092 PN16 142,44 43,84 296,89 99,68 15° 30° 30° 15°",,CADASTRAR
20,,419,16,"405,00 4,75 FL EN1092 PN16 158,65 46,38 329,31 104,77 15° 30° 30° 15°",,CADASTRAR
20,,470,18,"427,50 4,75 FL EN1092 PN16 171,52 45,58 355,03 103,16 15° 30° 30° 15°",,CADASTRAR
20,,521,20,"457,00 4,75 FL EN1092 PN16 186,25 46,65 384,51 105,30 15° 30° 30° 15°",,CADASTRAR
