familia,dn,dn_menor,unidade_dn,variante,significado,valor_mm,confiavel,nome_no_dxf,arquivo,fonte
TE,75,,mm,BOLSA,face_a_face_mm,174.0,1,TE  PVC IRRI LF BS 75 MM,pecas_CAD2.dxf,DXF da casa
TE,75,,mm,BOLSA,altura_total_mm,132.0,1,TE  PVC IRRI LF BS 75 MM,pecas_CAD2.dxf,DXF da casa
TE,50,,mm,BOLSA,face_a_face_mm,122.5,1,TE  PVC IRRI LF BS 50 MM,pecas_CAD2.dxf,DXF da casa
TE,50,,mm,BOLSA,altura_total_mm,92.8,1,TE  PVC IRRI LF BS 50 MM,pecas_CAD2.dxf,DXF da casa
TE,35,,mm,BOLSA,face_a_face_mm,96.5,1,TE  PVC IRRI LF BS 35 MM,pecas_CAD2.dxf,DXF da casa
TE,35,,mm,BOLSA,altura_total_mm,72.2,1,TE  PVC IRRI LF BS 35 MM,pecas_CAD2.dxf,DXF da casa
ADAPTADOR,110,100,mm,BOLSA,comprimento_mm,110.0,1,ADAP. PVC PBS 110X100,pecas_CAD2.dxf,DXF da casa
ADAPTADOR,110,100,mm,BOLSA,d_externo_mm,80.0,1,ADAP. PVC PBS 110X100,pecas_CAD2.dxf,DXF da casa
ADAPTADOR,125,118,mm,BOLSA,comprimento_mm,125.0,1,ADAP. PVC PBS 125X118,pecas_CAD2.dxf,DXF da casa
ADAPTADOR,125,118,mm,BOLSA,d_externo_mm,90.0,1,ADAP. PVC PBS 125X118,pecas_CAD2.dxf,DXF da casa
ADAPTADOR,170,160,mm,BOLSA,comprimento_mm,170.0,1,ADAP. PVC PBS 170X160,pecas_CAD2.dxf,DXF da casa
ADAPTADOR,170,160,mm,BOLSA,d_externo_mm,125.0,1,ADAP. PVC PBS 170X160,pecas_CAD2.dxf,DXF da casa
LUVA_CORRER,150,,mm,,comprimento_mm,196.0,1,LUVA  CORRER PVC 150 MM,pecas_CAD2.dxf,DXF da casa
LUVA_CORRER,150,,mm,,d_externo_mm,175.1,1,LUVA  CORRER PVC 150 MM,pecas_CAD2.dxf,DXF da casa
