tamanho,rotor_mm,dn1_mm,dn2_mm,a_mm,f_mm,h1_mm,h2_mm,b_mm,g1_mm,g2_mm,l1_mm,m1_mm,m2_mm,m3_mm,n1_mm,n2_mm,n3_mm,n4_mm,s1_mm,s2_mm,v_mm,w_mm,d1_mm,l_mm,t_mm,u_mm,x_mm,iso_2858,fonte
80-160,160,125,80,125,500,180,225,65,18,9.52,39.52,125,95,64.52,320,250,152.4,110,14,14,130,370,32,80,35.3,10,140,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
80-200,200,125,80,125,500,180,250,65,18,9.52,39.52,125,95,64.52,345,280,152.4,110,14,14,130,370,32,80,35.3,10,140,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
80-250,250,125,80,125,500,225,280,80,19,9.52,39.52,160,120,64.52,400,315,152.4,110,18,14,130,370,32,80,35.3,10,140,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
80-315,315,125,80,125,530,250,315,80,19,9.52,36.52,160,120,61.52,400,315,152.4,110,18,14,160,370,42,110,45.1,12,140,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
80-400,400,125,80,125,530,280,355,80,20,9.52,36.52,160,120,61.52,435,355,152.4,110,18,14,160,370,42,110,45.1,12,140,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
100-160,160,125,100,125,500,200,280,80,19,9.52,39.52,160,120,64.52,360,280,152.4,110,18,14,130,370,32,80,35.3,10,140,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
100-200,200,125,100,125,500,200,280,80,18,9.52,39.52,160,120,64.52,360,280,152.4,110,18,14,130,370,32,80,35.3,10,140,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
100-250,250,125,100,140,530,225,280,80,20,9.52,36.52,160,120,61.52,400,315,152.4,110,18,14,160,370,42,110,45.1,12,140,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
100-315,315,125,100,140,530,250,315,80,18,9.52,36.52,160,120,61.52,400,315,152.4,110,18,14,160,370,42,110,45.1,12,140,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
100-400,400,125,100,140,530,280,355,100,20,9.52,36.52,200,150,61.52,500,400,152.4,110,22,14,160,370,42,110,45.1,12,140,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
125-200,200,150,125,140,530,250,315,80,20,9.52,36.52,160,120,61.52,400,315,152.4,110,18,14,160,370,42,110,45.1,12,140,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
125-250,250,150,125,140,530,250,355,80,18,9.52,36.52,160,120,61.52,400,315,152.4,110,18,14,160,370,42,110,45.1,12,140,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
125-315,315,150,125,140,530,280,355,100,20,9.52,36.52,200,150,61.52,500,400,152.4,110,22,14,160,370,42,110,45.1,12,140,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
125-400,400,150,125,140,530,315,400,100,20,9.52,36.52,200,150,61.52,500,400,152.4,110,22,14,160,370,42,110,45.1,12,140,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
150-200,200,200,150,160,530,280,400,100,20,9.52,36.52,200,150,61.52,550,450,152.4,110,22,14,160,370,42,110,45.1,12,180,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
150-250,250,200,150,160,530,280,375,100,20,9.52,36.52,200,150,61.52,500,400,152.4,110,22,14,160,370,42,110,45.1,12,180,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
150-315,315,200,150,160,670,315,400,100,20,15,38,200,150,65,550,450,210,140,22,20,170,500,48,110,51.5,14,180,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
150-400,400,200,150,160,670,315,450,100,20,15,38,200,150,65,550,450,210,140,22,20,170,500,48,110,51.5,14,180,1,"KSB Meganorm manual tecnico A2742.0P/8, tabela 06"
