arquivo,nome,largura_mm,altura_mm,x_mm,y_mm,entidades,camadas,fonte
pecas_CAD2.dxf,LUVA  CORRER PVC 50 MM,94.0,75.0,20874.5,3141.3,669,0 INTERNO TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,JOELHO AZUL 90 - 100mm,679.9,205.8,20761.4,2674.2,601,0 TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,LUVA  PVC IRRI LF BS 150 MM,181.0,167.9,18709.6,3076.3,265,PEÇAS TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,LUVA  CORRER PVC 150 MM,196.0,175.1,18709.6,2607.3,249,0 INTERNO TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,LUVA  CORRER PVC 125 MM,163.0,150.1,18279.1,2614.3,223,0 INTERNO TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,LUVA  PVC IRRI LF BS 125 MM,153.0,142.9,18209.6,3090.4,233,PEÇAS TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,LUVA  PVC IRRI LF BS 100 MM,120.0,118.0,17709.6,3129.6,831,0 TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,LUVA  CORRER PVC 100 MM,103.0,125.0,17709.6,2650.8,827,0 INTERNO TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,LUVA  PVC IRRI LF BS 75 MM,89.0,90.0,16145.7,3154.3,147,0 TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,LUVA  CORRER PVC 75 MM,101.0,102.0,16145.7,2673.8,143,0 INTERNO TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,LUVA  PVC IRRI LF BS 50 MM,66.0,60.0,15650.2,3187.5,673,0 TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,LUVA  CORRER PVC 50 MM,94.0,75.0,15649.7,2709.1,669,0 INTERNO TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,LUVA  PVC IRRI LF BS 35 MM,54.0,48.0,15214.1,3200.5,221,0 TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,"ADAP. BS x RM 100 x 4""",60.6,119.0,21362.9,1889.4,113,0 eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,"ADAP. BS x RM 75 x 3""",52.5,85.3,21162.7,1900.5,95,0 eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,"ADAP. BS x RM 50 x 2""",38.0,67.0,20974.5,1908.0,257,0 eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,JOELHO AZUL 90 - 100mm,172.7,172.7,17635.6,2148.4,184,0 TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,JOELHO AZUL 90 - 75mm,132.4,132.4,17073.7,2128.0,117,0 TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,JOELHO AZUL 90 - 50mm,93.7,93.3,16586.4,2178.8,151,0 TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,JOELHO AZUL 90 - 35mm,72.4,72.4,16188.6,2165.0,149,0 TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,"JOELHO SAÍDA P VENTOSA 3 50 X "" 4",93.7,105.4,15686.7,2151.2,291,0 TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD2.dxf,"ADAP. BS x RM 50 x 2""",343.7,119.0,15656.0,1344.5,814,0 TEXTO eixo,DXF da casa: pecas_CAD2.dxf
pecas_CAD3.dxf,"VALV. VENTOSA NAVC 2"" PN10-16 NETAFIM",483.6,518.0,19967.6,492.1,2616,0,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,"BUCHA RED PVC 2"" X 1""",70.0,116.9,19729.3,463.2,786,0 PEÇAS eixo,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,"VALV. ANTI-VACUO 1"" NETAFIM",76.4,286.0,19706.5,717.8,1154,0 eixo,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,"VALV. ANTI-VACUO 1"" EMEK",58.6,125.0,19560.9,699.8,636,0 eixo,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,"VALV. ANTI-VACUO 2"" EMEK",73.3,122.0,19542.9,446.2,370,0 eixo,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,"VALV. PLASTICA  DOROT 75X2""",198.0,121.5,19006.2,652.4,600,0 eixo,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,VALV. PLASTICA  DOROT 75X1,188.0,121.5,19005.7,904.8,624,0 eixo,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,"VALV. PLASTICA  DOROT 75X3""",235.0,121.5,18989.5,389.4,766,0 eixo,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,TE PVC SOLDAVEL 225MM PLASSON/FIP,465.0,362.0,17695.1,563.1,42,0 Visible (ANSI) Visible Narrow (ANSI),DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,ADAPTADOR P/FL 225MM SOLDA,133.0,272.0,17427.6,556.1,34,0 Visible (ANSI) Visible Narrow (ANSI),DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,FL 225MM,32.0,353.0,16917.6,515.6,10,0 Visible (ANSI),DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,CURVA 90. SOLDA 225MM PLASSON/FIP,362.0,362.0,16144.1,491.3,32,0 Visible (ANSI),DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,CURVA 90. SOLDA 225MM PLASSON/FIP,363.0,363.0,15619.8,462.9,20,0 eixo,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,"1/2""",340.2,401.0,19455.8,-55.2,2562,0 TEXTO eixo,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,VALV. PLASTICA  DOROT 96-90,260.0,195.4,18982.7,-346.8,790,0 eixo,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,"VALV. PLASTICA  DOROT 75X3""S",258.0,156.2,18978.2,34.8,1624,0 eixo,DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,TE PVC SOLDAVEL 160MM PLASSON/FIP,339.0,262.0,17758.1,100.1,42,0 Visible (ANSI) Visible Narrow (ANSI),DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,TE PVC SOLDAVEL 125MM PLASSON/FIP,339.0,262.0,17758.1,-399.9,42,0 Visible (ANSI) Visible Narrow (ANSI),DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,ADAPTADOR P/FL 160MM SOLDA,92.0,213.0,17427.6,85.6,34,0 Visible (ANSI) Visible Narrow (ANSI),DXF da casa: pecas_CAD3.dxf
pecas_CAD3.dxf,FL 160MM,30.0,289.0,16917.6,47.6,10,0 Visible (ANSI),DXF da casa: pecas_CAD3.dxf
