tamanho,polos,dn_succao_pol,dn_recalque_pol,a_mm,b_mm,c_mm,h_mm,l_mm,norma_flange,rosca_possivel,fonte
100-315,4,5,4,315,250,140,200,732,ANSI 125,0,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
125-200,4,6,5,315,250,140,160,601,ANSI 125,0,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
125-250,4,6,5,335,250,140,180,681,ANSI 125,0,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
150-200,4,8,6,400,280,160,160,601,ANSI 125,0,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
150-250,4,8,6,375,280,160,200,728,ANSI 125,0,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
25-150,2,1.25,1,,,,,,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
25-200,2,1.5,1,,,,,,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
32-125,2,2,1.25,,,,,,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
32-125.1,2,2,1.25,,,,,,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
32-160,2,2,1.25,,,,,,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
32-160.1,2,2,1.25,,,,,,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
32-200,2,2,1.25,,,,,,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
32-200.1,2,2,1.25,,,,,,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
32-250,2,2,1.25,,,,,,ANSI 250,0,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
32-250.1,2,2,1.25,,,,,,ANSI 250,0,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
40-125,2,2.5,1.5,,,,,,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
40-160,2,2.5,1.5,,,,,,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
40-200,2,2.5,1.5,,,,,,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
40-250,2,2.5,1.5,,,,,,ANSI 250,0,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
50-125,2,3,2,,,,,,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
50-160,2,3,2,,,,,,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
50-200,2,3,2,,,,,,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
65-125,2,4,2.5,,,,,,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
65-160,2,4,2.5,,,,,,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
65-200,2,4,2.5,,,,,,ANSI 125,1,"KSB Megabloc manual tecnico A2744.12P/2, 60Hz"
