familia,variante,dn_pol,cota_mm,significado,amostras,divergentes
MANIFOLD,D11,18,1000,comprimento_mm,1,0
MANIFOLD,D11,20,1000,comprimento_mm,1,0
MANIFOLD,D11,24,2000,comprimento_mm,1,0
MANIFOLD,D11,28,2000,comprimento_mm,1,0
MANIFOLD,D12,3,2000,comprimento_mm,2,0
MANIFOLD,D12,4,2250,comprimento_mm,2,0
MANIFOLD,D12,6,2750,comprimento_mm,2,0
MANIFOLD,D12,8,3250,comprimento_mm,2,0
MANIFOLD,D12,10,2500,comprimento_mm,2,0
MANIFOLD,D12,12,3000,comprimento_mm,2,0
REDUCAO,,3,250,cota_mm,4,0
REDUCAO,,4,250,cota_mm,4,0
REDUCAO,,5,250,cota_mm,2,0
REDUCAO,,6,300,cota_mm,4,0
REDUCAO,,8,300,cota_mm,4,0
REDUCAO,,10,350,cota_mm,4,0
REDUCAO,,12,450,cota_mm,4,0
REDUCAO,,14,600,cota_mm,4,0
REDUCAO,,16,600,cota_mm,4,0
REDUCAO,,18,600,cota_mm,4,0
REDUCAO,,20,600,cota_mm,4,0
REDUCAO,,24,600,cota_mm,4,0
TE,,2,132.5,raio_mm,1,0
TE,,3,152,raio_mm,1,0
TE,,4,175,raio_mm,1,0
TE,,6,216,raio_mm,1,0
TE,,8,297,raio_mm,1,0
TE,,10,325,raio_mm,1,0
TE,,12,365,raio_mm,1,0
TE,,14,370,raio_mm,1,0
TE,,16,405,raio_mm,1,0
TE,,18,427.5,raio_mm,1,0
TE,,20,457,raio_mm,1,0
TE,,24,559,raio_mm,1,0
